Source,Sex,age,round_kg,round_lb,easterncut_lb
LL fishery,Female,2,2.17,4.78,3.01
LL fishery,Female,3,2.39,5.27,3.32
LL fishery,Female,4,2.6,5.73,3.61
LL fishery,Female,5,2.81,6.19,3.9
LL fishery,Female,6,3.02,6.66,4.2
LL fishery,Female,7,3.22,7.1,4.47
LL fishery,Female,8,3.42,7.54,4.75
LL fishery,Female,9,3.61,7.96,5.01
LL fishery,Female,10,3.79,8.36,5.27
LL fishery,Female,11,3.97,8.75,5.51
LL fishery,Female,12,4.14,9.13,5.75
LL fishery,Female,13,4.31,9.5,5.99
LL fishery,Female,14,4.47,9.85,6.21
LL fishery,Female,15,4.62,10.19,6.42
LL fishery,Female,16,4.76,10.49,6.61
LL fishery,Female,17,4.9,10.8,6.8
LL fishery,Female,18,5.03,11.09,6.99
LL fishery,Female,19,5.16,11.38,7.17
LL fishery,Female,20,5.28,11.64,7.33
LL fishery,Female,21,5.39,11.88,7.48
LL fishery,Female,22,5.5,12.13,7.64
LL fishery,Female,23,5.6,12.35,7.78
LL fishery,Female,24,5.69,12.54,7.9
LL fishery,Female,25,5.78,12.74,8.03
LL fishery,Female,26,5.87,12.94,8.15
LL fishery,Female,27,5.95,13.12,8.27
LL fishery,Female,28,6.02,13.27,8.36
LL fishery,Female,29,6.1,13.45,8.47
LL fishery,Female,30,6.16,13.58,8.56
LL fishery,Female,31,6.23,13.73,8.65
LL fishery,Male,2,1.98,4.37,2.75
LL fishery,Male,3,2.11,4.65,2.93
LL fishery,Male,4,2.24,4.94,3.11
LL fishery,Male,5,2.36,5.2,3.28
LL fishery,Male,6,2.48,5.47,3.45
LL fishery,Male,7,2.58,5.69,3.58
LL fishery,Male,8,2.68,5.91,3.72
LL fishery,Male,9,2.78,6.13,3.86
LL fishery,Male,10,2.86,6.31,3.98
LL fishery,Male,11,2.94,6.48,4.08
LL fishery,Male,12,3.01,6.64,4.18
LL fishery,Male,13,3.08,6.79,4.28
LL fishery,Male,14,3.14,6.92,4.36
LL fishery,Male,15,3.2,7.05,4.44
LL fishery,Male,16,3.25,7.17,4.52
LL fishery,Male,17,3.3,7.28,4.59
LL fishery,Male,18,3.35,7.39,4.66
LL fishery,Male,19,3.39,7.47,4.71
LL fishery,Male,20,3.42,7.54,4.75
LL fishery,Male,21,3.46,7.63,4.81
LL fishery,Male,22,3.49,7.69,4.84
LL fishery,Male,23,3.52,7.76,4.89
LL fishery,Male,24,3.54,7.8,4.91
LL fishery,Male,25,3.57,7.87,4.96
LL fishery,Male,26,3.59,7.91,4.98
LL fishery,Male,27,3.61,7.96,5.01
LL fishery,Male,28,3.62,7.98,5.03
LL fishery,Male,29,3.64,8.02,5.05
LL fishery,Male,30,3.66,8.07,5.08
LL fishery,Male,31,3.67,8.09,5.1
LL fishery,Combined,2,1.97,4.34,2.73
LL fishery,Combined,3,2.2,4.85,3.06
LL fishery,Combined,4,2.42,5.34,3.36
LL fishery,Combined,5,2.63,5.8,3.65
LL fishery,Combined,6,2.83,6.24,3.93
LL fishery,Combined,7,3.01,6.64,4.18
LL fishery,Combined,8,3.18,7.01,4.42
LL fishery,Combined,9,3.34,7.36,4.64
LL fishery,Combined,10,3.49,7.69,4.84
LL fishery,Combined,11,3.62,7.98,5.03
LL fishery,Combined,12,3.75,8.27,5.21
LL fishery,Combined,13,3.86,8.51,5.36
LL fishery,Combined,14,3.96,8.73,5.5
LL fishery,Combined,15,4.06,8.95,5.64
LL fishery,Combined,16,4.14,9.13,5.75
LL fishery,Combined,17,4.22,9.3,5.86
LL fishery,Combined,18,4.29,9.46,5.96
LL fishery,Combined,19,4.35,9.59,6.04
LL fishery,Combined,20,4.41,9.72,6.12
LL fishery,Combined,21,4.46,9.83,6.19
LL fishery,Combined,22,4.51,9.94,6.26
LL fishery,Combined,23,4.55,10.03,6.32
LL fishery,Combined,24,4.59,10.12,6.38
LL fishery,Combined,25,4.62,10.19,6.42
LL fishery,Combined,26,4.65,10.25,6.46
LL fishery,Combined,27,4.68,10.32,6.5
LL fishery,Combined,28,4.71,10.38,6.54
LL fishery,Combined,29,4.73,10.43,6.57
LL fishery,Combined,30,4.75,10.47,6.6
LL fishery,Combined,31,4.77,10.52,6.63
