model,year,P,mean,q025,q975
Model1,2005,6,1662182.6492245262,1426903.6583870647,1942048.004120302
Model1,2006,6,2122203.2691610553,1753089.0524947292,2592566.4230097993
Model1,2007,6,2725542.809091915,2210853.530951536,3365770.9243648923
Model1,2008,6,1711115.6890436537,1446163.194919334,2032585.2682749175
Model1,2009,6,2436964.3302136045,2021067.8585463085,2949462.293998365
Model1,2010,6,2174689.574636929,1838648.0923386528,2580938.256581415
Model1,2012,6,1810723.7622400636,1548297.4003523237,2129474.365933094
Model1,2013,6,1985850.731561512,1697565.284713329,2340353.627021685
Model1,2015,6,1855965.2957790287,1555983.4523593322,2221020.29667935
Model1,2017,6,2046752.4213743662,1709319.7693468987,2469185.804171312
Model1,2018,6,2895579.2806979017,2419428.879465502,3473814.2374895504
Model1,2019,6,3221133.601391424,2651927.2960333154,3917880.4023142606
Model1,2020,6,3129633.0758888805,2512780.6702920008,3896359.3734406913
