Source,Sex,age,round_kg,fork_length_cm,round_lb,easterncut_lb_0.63
LL survey,Female,2,1.29,51.544669331501744,2.84,1.79
LL survey,Female,3,1.56,54.39341699298151,3.44,2.17
LL survey,Female,4,1.85,56.997428520691024,4.08,2.57
LL survey,Female,5,2.13,59.377729214969364,4.7,2.96
LL survey,Female,6,2.41,61.553538090963684,5.31,3.35
LL survey,Female,7,2.69,63.542423056730996,5.93,3.74
LL survey,Female,8,2.95,65.36044275997703,6.5,4.09
LL survey,Female,9,3.21,67.02227624873066,7.08,4.46
LL survey,Female,10,3.45,68.54134149285986,7.61,4.79
LL survey,Female,11,3.68,69.9299037233947,8.11,5.11
LL survey,Female,12,3.89,71.19917446441097,8.58,5.41
LL survey,Female,13,4.09,72.3594020570767,9.02,5.68
LL survey,Female,14,4.28,73.41995440677088,9.44,5.95
LL survey,Female,15,4.45,74.38939462139086,9.81,6.18
LL survey,Female,16,4.61,75.27555015156665,10.16,6.4
LL survey,Female,17,4.76,76.08557599103415,10.49,6.61
LL survey,Female,18,4.9,76.82601244745946,10.8,6.8
LL survey,Female,19,5.03,77.50283795016699,11.09,6.99
LL survey,Female,20,5.14,78.1215173211516,11.33,7.14
LL survey,Female,21,5.25,78.6870458991244,11.57,7.29
LL survey,Female,22,5.35,79.20398987285823,11.79,7.43
LL survey,Female,23,5.43,79.67652314949238,11.97,7.54
LL survey,Female,24,5.51,80.10846105547824,12.15,7.65
LL survey,Female,25,5.59,80.50329114227421,12.32,7.76
LL survey,Female,26,5.66,80.86420134552093,12.48,7.86
LL survey,Female,27,5.72,81.19410572505949,12.61,7.94
LL survey,Female,28,5.77,81.4956679936228,12.72,8.01
LL survey,Female,29,5.82,81.77132302417515,12.83,8.08
LL survey,Female,30,5.87,82.02329650955453,12.94,8.15
LL survey,Female,31,5.91,82.25362293315366,13.03,8.21
LL survey,Male,2,1.22,50.639122349072295,2.69,1.69
LL survey,Male,3,1.44,52.82482376458806,3.17,2
LL survey,Male,4,1.66,54.75109771943469,3.66,2.31
LL survey,Male,5,1.86,56.44873643750492,4.1,2.58
LL survey,Male,6,2.05,57.94487732122495,4.52,2.85
LL survey,Male,7,2.22,59.26343675328309,4.89,3.08
LL survey,Male,8,2.37,60.4254924091292,5.22,3.29
LL survey,Male,9,2.51,61.44962019165634,5.53,3.48
LL survey,Male,10,2.63,62.35219117409371,5.8,3.65
LL survey,Male,11,2.74,63.14763329785663,6.04,3.81
LL survey,Male,12,2.84,63.84866200869307,6.26,3.94
LL survey,Male,13,2.92,64.46648351793398,6.44,4.06
LL survey,Male,14,3,65.01097393805568,6.61,4.16
LL survey,Male,15,3.06,65.49083715610482,6.75,4.25
LL survey,Male,16,3.12,65.91374396865258,6.88,4.33
LL survey,Male,17,3.17,66.28645470240382,6.99,4.4
LL survey,Male,18,3.21,66.61492728059783,7.08,4.46
LL survey,Male,19,3.25,66.90441246268395,7.17,4.52
LL survey,Male,20,3.28,67.15953777971401,7.23,4.55
LL survey,Male,21,3.31,67.38438150719132,7.3,4.6
LL survey,Male,22,3.34,67.58253785786009,7.36,4.64
LL survey,Male,23,3.36,67.75717443656708,7.41,4.67
LL survey,Male,24,3.38,67.91108287563328,7.45,4.69
LL survey,Male,25,3.39,68.04672346016132,7.47,4.71
LL survey,Male,26,3.41,68.16626445663127,7.52,4.74
LL survey,Male,27,3.42,68.27161677346734,7.54,4.75
LL survey,Male,28,3.43,68.36446450763792,7.56,4.76
LL survey,Male,29,3.44,68.44629186558797,7.58,4.78
LL survey,Male,30,3.45,68.51840688884509,7.61,4.79
LL survey,Male,31,3.45,68.5819623635624,7.61,4.79
LL survey,Combined,2,1.18,NA,2.6,1.64
LL survey,Combined,3,1.47,NA,3.24,2.04
LL survey,Combined,4,1.75,NA,3.86,2.43
LL survey,Combined,5,2.02,NA,4.45,2.8
LL survey,Combined,6,2.27,NA,5,3.15
LL survey,Combined,7,2.51,NA,5.53,3.48
LL survey,Combined,8,2.73,NA,6.02,3.79
LL survey,Combined,9,2.92,NA,6.44,4.06
LL survey,Combined,10,3.1,NA,6.83,4.3
LL survey,Combined,11,3.25,NA,7.17,4.52
LL survey,Combined,12,3.39,NA,7.47,4.71
LL survey,Combined,13,3.51,NA,7.74,4.88
LL survey,Combined,14,3.62,NA,7.98,5.03
LL survey,Combined,15,3.72,NA,8.2,5.17
LL survey,Combined,16,3.8,NA,8.38,5.28
LL survey,Combined,17,3.87,NA,8.53,5.37
LL survey,Combined,18,3.93,NA,8.66,5.46
LL survey,Combined,19,3.99,NA,8.8,5.54
LL survey,Combined,20,4.04,NA,8.91,5.61
LL survey,Combined,21,4.08,NA,8.99,5.66
LL survey,Combined,22,4.11,NA,9.06,5.71
LL survey,Combined,23,4.14,NA,9.13,5.75
LL survey,Combined,24,4.17,NA,9.19,5.79
LL survey,Combined,25,4.19,NA,9.24,5.82
LL survey,Combined,26,4.21,NA,9.28,5.85
LL survey,Combined,27,4.23,NA,9.33,5.88
LL survey,Combined,28,4.25,NA,9.37,5.9
LL survey,Combined,29,4.26,NA,9.39,5.92
LL survey,Combined,30,4.27,NA,9.41,5.93
LL survey,Combined,31,4.28,NA,9.44,5.95
