Source,Sex,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
LL survey,Female,253,196,129,206,181,294,386,395,502,416,408,336,365,320,365,405,255,285,290,315,347,347,269,375,369
LL survey,Male,269,154,144,174,261,344,394,342,366,316,329,270,253,285,311,319,280,275,201,237,250,215,198,239,274
LL survey,Sex combined,522,350,273,380,442,638,780,737,868,732,737,606,618,605,676,724,535,560,491,552,597,562,467,614,643
LL fishery,Female,0,0,0,0,0,1239,1017,1512,1244,1068,983,1014,1045,979,918,923,656,777,753,913,830,811,805,783,498
LL fishery,Male,0,0,0,0,0,1009,756,751,502,604,510,517,514,548,547,600,652,561,450,500,590,503,492,511,239
LL fishery,Sex combined,0,0,0,0,0,2248,1773,2263,1746,1672,1493,1531,1559,1527,1465,1523,1308,1338,1203,1413,1420,1314,1297,1294,737
