year,cpue,var
1980,0.719,0.01681
1981,0.98,0.01681
1982,1.24,0.01681
1983,1.521,0.01681
1984,1.304,0.01681
1985,1.88,0.01681
1986,1.581,0.01681
1987,1.704,0.01681
1988,1.579,0.01681
1989,1.156,0.01681
1990,1.402,0.01681
1991,1.267,0.01681
1992,1.468,0.01681
1993,1.587,0.01681
1994,0.993,0.01681
1995,0.838,0.01681
1996,0.73,0.01681
1997,0.622,0.00734
1998,0.455,0.00441
1999,0.44,0.00583
2000,0.429,0.00506
2001,0.473,0.00712
2002,0.593,0.00918
2003,0.71,0.01562
2004,0.669,0.01348
2005,0.652,0.01397
2006,0.685,0.01326
2007,0.759,0.01925
2008,0.842,0.0194
2009,0.698,0.02017
2010,0.675,0.02023
2011,0.803,0.02684
2012,0.856,0.0261
2013,0.74,0.0229
2014,0.772,0.02387
2015,0.695,0.0195
2016,0.827,0.02458
2017,0.721,0.02236
2018,0.883,0.02603
2019,0.594,0.02016
2020,0.555,0.01666
2021,0.545,0.01705
