year,ABC,retro
1975,4.290984592875929,retro_0
1976,4.324538015984793,retro_0
1977,4.374245173619018,retro_0
1978,4.445764795718605,retro_0
1979,4.475480131852352,retro_0
1980,4.447290541237781,retro_0
1981,4.435827791071994,retro_0
1982,4.521689534533783,retro_0
1983,4.834916559211735,retro_0
1984,5.2215915201629794,retro_0
1985,5.5802016953212,retro_0
1986,5.725421268981656,retro_0
1987,5.719116863924656,retro_0
1988,5.648750157862484,retro_0
1989,5.33968172968999,retro_0
1990,5.045815747337063,retro_0
1991,4.761736798722238,retro_0
1992,4.433777237217851,retro_0
1993,4.041302015202579,retro_0
1994,3.6107880774831136,retro_0
1995,3.220386241670714,retro_0
1996,2.87775542091383,retro_0
1997,2.523881094777676,retro_0
1998,2.2046614828741262,retro_0
1999,1.9056508731417732,retro_0
2000,1.7318704149934079,retro_0
2001,1.6023715946213917,retro_0
2002,1.556167255408793,retro_0
2003,1.549168264859927,retro_0
2004,1.543456344783181,retro_0
2005,1.5211514846004073,retro_0
2006,1.4936513590461467,retro_0
2007,1.4451525698827867,retro_0
2008,1.4119353439755313,retro_0
2009,1.3667277748703008,retro_0
2010,1.3345565748481854,retro_0
2011,1.301865275334018,retro_0
2012,1.2896360736653174,retro_0
2013,1.2726642172692377,retro_0
2014,1.2517190195571368,retro_0
2015,1.2282783302465283,retro_0
2016,1.2026085916974356,retro_0
2017,1.1943213704552569,retro_0
2018,1.201485996003795,retro_0
2019,1.2304858836628683,retro_0
2020,1.306325000848775,retro_0
2021,1.433597704209629,retro_0
2022,1.5771601809767481,retro_0
1975,4.284716747045144,retro_1
1976,4.317809508102961,retro_1
1977,4.366586110223841,retro_1
1978,4.43732371030514,retro_1
1979,4.466827390516765,retro_1
1980,4.439331610256199,retro_1
1981,4.4292866211262325,retro_1
1982,4.51658825925039,retro_1
1983,4.83042612080962,retro_1
1984,5.216892843105622,retro_1
1985,5.575033239832271,retro_1
1986,5.7199356579265705,retro_1
1987,5.7132515339360594,retro_1
1988,5.6424178979906445,retro_1
1989,5.33371043890323,retro_1
1990,5.039955683340515,retro_1
1991,4.755947242283921,retro_1
1992,4.427924398853868,retro_1
1993,4.035613849078775,retro_1
1994,3.604924754813578,retro_1
1995,3.2145179048905086,retro_1
1996,2.8717133443524525,retro_1
1997,2.517784113550736,retro_1
1998,2.198475936100576,retro_1
1999,1.8994976982102036,retro_1
2000,1.7258744110735431,retro_1
2001,1.5965649052261217,retro_1
2002,1.5505805421223557,retro_1
2003,1.5437290951371039,retro_1
2004,1.538189576554753,retro_1
2005,1.5160245735839408,retro_1
2006,1.4886271281791381,retro_1
