Quantity,Value
Assessment year mark-recapture abundance estimate,3142733.4401957123
Assessment year available abundance,4213863.888632974
Forecasted available abundance,3827732.228538707
Forecasted spawning biomass,11249095.604068318
Forecasted exploitable abundance,2240915.6801325153
Forecasted exploitable biomass,18073484.041579276
F_50,0.06430206893595701
ABC,969546.8327255131
Mortality from discards,16826.88270272597
