model,year,P,mean,q025,q975
Model1,2005,6,1756427.4486877688,1511602.2196715882,2049679.6212888486
Model1,2006,6,2239806.0744673745,1847482.7246876978,2730149.0890430547
Model1,2007,6,2763163.503950845,2252104.3353983206,3390764.9590490386
Model1,2008,6,1792186.393535144,1506138.0647850945,2137254.3873763974
Model1,2009,6,2464517.4159632474,2041877.0372205372,2971786.3188641737
Model1,2010,6,2250668.740238701,1882678.4146444148,2687612.6093768836
Model1,2012,6,1869913.6543276447,1592498.0672809563,2196300.956153012
Model1,2013,6,1850651.9007352106,1585000.2376814673,2165353.7288986347
Model1,2015,6,1775967.6475924037,1490579.010370949,2126049.199437882
Model1,2017,6,2154909.6962858895,1784235.6690660329,2609709.726935139
Model1,2018,6,2847458.232291234,2381553.1910316474,3395695.108661975
