Source,Sex,age,weight
LL survey,Female,2,1.2625
LL fishery,Female,2,2.415
LL survey,Male,2,1.1974
LL fishery,Male,2,1.6973
LL survey,Combined,2,1.2358
LL fishery,Combined,2,1.9506
LL survey,Female,3,1.5726
LL fishery,Female,3,2.0417
LL survey,Male,3,1.4354
LL fishery,Male,3,1.9766
LL survey,Combined,3,1.5177
LL fishery,Combined,3,2.0104
LL survey,Female,4,1.8782
LL fishery,Female,4,2.4182
LL survey,Male,4,1.7029
LL fishery,Male,4,2.2547
LL survey,Combined,4,1.8059
LL fishery,Combined,4,2.3629
LL survey,Female,5,2.2433
LL fishery,Female,5,2.88
LL survey,Male,5,1.9615
LL fishery,Male,5,2.3936
LL survey,Combined,5,2.1258
LL fishery,Combined,5,2.7259
LL survey,Female,6,2.5607
LL fishery,Female,6,3.1398
LL survey,Male,6,2.1547
LL fishery,Male,6,2.5649
LL survey,Combined,6,2.3847
LL fishery,Combined,6,2.9508
LL survey,Female,7,2.9441
LL fishery,Female,7,3.391
LL survey,Male,7,2.3586
LL fishery,Male,7,2.7032
LL survey,Combined,7,2.7046
LL fishery,Combined,7,3.1614
LL survey,Female,8,3.1393
LL fishery,Female,8,3.6012
LL survey,Male,8,2.4362
LL fishery,Male,8,2.7497
LL survey,Combined,8,2.8357
LL fishery,Combined,8,3.3236
LL survey,Female,9,3.4603
LL fishery,Female,9,3.7594
LL survey,Male,9,2.6266
LL fishery,Male,9,2.9033
LL survey,Combined,9,3.1246
LL fishery,Combined,9,3.4904
LL survey,Female,10,3.6215
LL fishery,Female,10,3.8942
LL survey,Male,10,2.7239
LL fishery,Male,10,2.9273
LL survey,Combined,10,3.2517
LL fishery,Combined,10,3.5877
LL survey,Female,11,3.7395
LL fishery,Female,11,4.0056
LL survey,Male,11,2.7483
LL fishery,Male,11,3.0048
LL survey,Combined,11,3.3098
LL fishery,Combined,11,3.6829
LL survey,Female,12,3.8684
LL fishery,Female,12,4.1785
LL survey,Male,12,2.8853
LL fishery,Male,12,3.0184
LL survey,Combined,12,3.4838
LL fishery,Combined,12,3.8079
LL survey,Female,13,4.0367
LL fishery,Female,13,4.3321
LL survey,Male,13,2.8782
LL fishery,Male,13,3.1236
LL survey,Combined,13,3.5546
LL fishery,Combined,13,3.9458
LL survey,Female,14,4.2453
LL fishery,Female,14,4.4827
LL survey,Male,14,3.008
LL fishery,Male,14,3.072
LL survey,Combined,14,3.736
LL fishery,Combined,14,4.0234
LL survey,Female,15,4.1994
LL fishery,Female,15,4.6479
LL survey,Male,15,2.9657
LL fishery,Male,15,3.1407
LL survey,Combined,15,3.6752
LL fishery,Combined,15,4.1369
LL survey,Female,16,4.5646
LL fishery,Female,16,4.7787
