model,year,P,mean,q025,q975
Model1,2005,6,1742069.744559667,1480684.6698184707,2049356.194979157
Model1,2006,6,2188951.0576519137,1778257.733591718,2698747.97214395
Model1,2007,6,2745599.7228826582,2200285.6770008267,3432518.083141644
Model1,2008,6,1773506.3787959272,1489141.0502957348,2122788.296083476
Model1,2009,6,2486433.501281131,2028926.5488361863,3055305.7752542645
Model1,2010,6,2195655.334142948,1840076.5419508144,2625322.649266215
Model1,2012,6,1854465.6105902346,1553648.6156602723,2215430.4169130847
Model1,2013,6,2011135.8047344037,1688661.0098060314,2405100.6996837887
Model1,2015,6,1888346.3464455947,1553638.6973217218,2302786.7328575477
Model1,2017,6,2062131.283787999,1671866.5281837736,2543550.1843515094
Model1,2018,6,3013030.365627466,2451726.184930651,3695778.4814039534
Model1,2019,6,3145173.4337435556,2522953.7085210043,3895563.3684022194
