year,estimate,sd,q025,q975
2005,1.7426342795598757,0.1455933364359013,1.4835234131231096,2.058330066400937
2006,2.1937765443767345,0.23516320179334252,1.7849079462379729,2.705548028510326
2007,2.7463178544181686,0.3136475576225948,2.195706837657582,3.4251026987444555
2008,1.771961877821516,0.16274364788634474,1.4853565778683866,2.120573540067211
2009,2.4876258927635853,0.2625282656970558,2.0275934026735407,3.05817420010239
2010,2.197806835830448,0.2009691432994952,1.8424382822108907,2.6258497558866716
2012,1.8535146496837793,0.1662907085962646,1.561704118939313,2.2154140833065266
2013,2.0121686245623973,0.1828705627422945,1.6895413860001594,2.3994356858824
2015,1.8918416788818846,0.19659416024480253,1.5489251790377228,2.317207593844036
2017,2.0646287252366875,0.21907654990404413,1.6769656618604345,2.5404119168301933
2018,2.947908829530293,0.3039027123510412,2.4101130956677896,3.603281838994398
2019,3.2138908003262063,0.3646004337138266,2.575773658305561,4.007782411411735
2020,3.13102868259243,0.3528824352803607,2.5156923015407857,3.8944703059335986
