model,year,P,mean,q025,q975
Model1,2005,6,1726672.4378426718,1474011.2620696307,2034991.2001813017
Model1,2006,6,2170397.463595919,1761758.5376018607,2671436.278886918
Model1,2007,6,2744752.1705174777,2196264.1581229693,3424084.157345683
Model1,2008,6,1767193.378895183,1485942.329250323,2119350.8221127973
Model1,2009,6,2474975.6399593106,2021778.9259908525,3034210.4387492384
Model1,2010,6,2193703.2193977786,1842047.8563590178,2621602.47046681
Model1,2012,6,1851895.1518190866,1560271.2324547668,2204434.859335411
Model1,2013,6,2010636.0165241621,1689100.6697390454,2409451.541605408
Model1,2015,6,1885473.7203690698,1545169.7381890605,2313685.174593247
Model1,2017,6,2063680.8443329097,1677589.1559328663,2530324.9634206775
Model1,2018,6,2949449.2903903723,2410438.794152197,3603421.1013178467
Model1,2019,6,3511091.060535488,2858917.2109149434,4298893.540398814
Model1,2020,6,3070993.0545460954,2499794.0125891743,3779987.252196927
