year,estimate,sd,q025,q975
2005,1.7420697445596671,0.14670366368116733,1.4806846698184708,2.049356194979157
2006,2.188951057651914,0.23444439892510296,1.7782577335917178,2.69874797214395
2007,2.745599722882658,0.3143587646340857,2.2002856770008266,3.432518083141644
2008,1.773506378795927,0.16146695422554003,1.4891410502957347,2.122788296083476
2009,2.486433501281131,0.262914184458629,2.0289265488361865,3.0553057752542645
2010,2.195655334142948,0.20150010051916317,1.8400765419508145,2.625322649266215
2012,1.8544656105902346,0.16824846375141625,1.5536486156602722,2.2154304169130845
2013,2.011135804734404,0.1819046009976795,1.6886610098060313,2.4051006996837887
2015,1.8883463464455947,0.19299396138257144,1.5536386973217218,2.3027867328575478
2017,2.0621312837879993,0.22046785682863457,1.6718665281837737,2.5435501843515094
2018,3.0130303656274657,0.3179855928890143,2.451726184930651,3.6957784814039534
2019,3.1451734337435555,0.3498664049041388,2.5229537085210043,3.8955633684022195
