year,std_cpue,sd,se
1997,0.1913012932140221,0.0504,0.0076
1998,0.20352955429786104,0.0572,0.0086
1999,0.19445815442120817,0.0616,0.0093
2000,0.1731410438809454,0.0729,0.0104
2001,0.25146188939760017,0.0763,0.0115
2002,0.21507705049213338,0.059,0.0089
2003,0.23088656396414525,0.0532,0.008
2004,0.21141230859209315,0.0549,0.0083
2005,0.2577026798559629,0.0664,0.01
2006,0.21270862161085966,0.0531,0.008
2007,0.2266311676506791,0.0574,0.0087
2008,0.22553437193615075,0.0722,0.0109
2009,0.21979947753954196,0.0493,0.0074
2010,0.2173171233340382,0.06,0.009
2011,0.2548210470569009,0.0635,0.0096
2012,0.27073917366941597,0.0589,0.0089
2013,0.20945739857267057,0.0608,0.0092
2014,0.20792450942882024,0.0497,0.0075
2015,0.1849086808915049,0.053900000000000003,0.0081
2016,0.20232271446097888,0.0523,0.0081
2017,0.227374829461947,0.0771,0.0119
2018,0.21479724541247544,0.0668,0.0103
2019,0.1920258400714557,0.0551,0.0087
2020,0.35855439645366516,0.0834,0.0129
2021,0.33639487696803666,0.0583,0.0092
2022,0.3502196093305652,0.0592,0.0091
2023,0.3235026693502088,0.0507,0.0078
2024,0.39447595371898037,0.0594,0.0092
