Sex,fork_length_cm,round_kg,round_lb,easterncut_lb_0.63
Sexes combined,40,0.67,1.4770954,0.930570102
Sexes combined,41,0.72,1.5873263999999998,1.000015632
Sexes combined,42,0.77,1.6975574,1.069461162
Sexes combined,43,0.83,1.8298345999999996,1.1527957979999999
Sexes combined,44,0.89,1.9621118,1.2361304339999999
Sexes combined,45,0.96,2.1164351999999997,1.3333541759999998
Sexes combined,46,1.02,2.2487124,1.416688812
Sexes combined,47,1.09,2.4030358,1.513912554
Sexes combined,48,1.17,2.5794053999999997,1.625025402
Sexes combined,49,1.24,2.7337287999999997,1.7222491439999998
Sexes combined,50,1.32,2.9100984,1.833361992
Sexes combined,51,1.4,3.0864679999999995,1.9444748399999998
Sexes combined,52,1.49,3.2848838,2.069476794
Sexes combined,53,1.58,3.4832996,2.194478748
Sexes combined,54,1.67,3.6817153999999994,2.3194807019999995
Sexes combined,55,1.77,3.9021774,2.458371762
Sexes combined,56,1.87,4.1226394,2.597262822
Sexes combined,57,1.97,4.343101399999999,2.7361538819999995
Sexes combined,58,2.08,4.5856096,2.888934048
Sexes combined,59,2.19,4.828117799999999,3.0417142139999997
Sexes combined,60,2.31,5.0926722,3.2083834860000002
Sexes combined,61,2.43,5.3572266,3.375052758
Sexes combined,62,2.55,5.6217809999999995,3.54172203
Sexes combined,63,2.68,5.9083816,3.722280408
Sexes combined,64,2.81,6.194982199999999,3.9028387859999993
Sexes combined,65,2.95,6.503629,4.09728627
Sexes combined,66,3.09,6.812275799999999,4.291733753999999
Sexes combined,67,3.23,7.120922599999999,4.4861812379999995
Sexes combined,68,3.38,7.451615599999999,4.6945178279999995
Sexes combined,69,3.54,7.8043548,4.916743524
Sexes combined,70,3.7,8.157093999999999,5.138969219999999
Sexes combined,71,3.86,8.5098332,5.361194916
Sexes combined,72,4.03,8.8846186,5.597309718
Sexes combined,73,4.2,9.259404,5.83342452
Sexes combined,74,4.38,9.656235599999999,6.0834284279999995
Sexes combined,75,4.57,10.0751134,6.347321441999999
Sexes combined,76,4.76,10.493991199999998,6.611214455999999
Sexes combined,77,4.95,10.912868999999999,6.87510747
Sexes combined,78,5.15,11.353793,7.15288959
Sexes combined,79,5.35,11.794716999999999,7.4306717099999995
Sexes combined,80,5.56,12.257687199999998,7.722342935999999
Sexes combined,81,5.78,12.742703599999999,8.027903268
Sexes combined,82,6,13.227719999999998,8.333463599999998
Sexes combined,83,6.23,13.734782599999999,8.652913038
Sexes combined,84,6.46,14.241845199999998,8.972362475999999
Sexes combined,85,6.7,14.770954,9.305701019999999
Sexes combined,86,6.94,15.3000628,9.639039563999999
Sexes combined,87,7.19,15.851217799999999,9.986267214
Sexes combined,88,7.45,16.424419,10.347383970000001
Sexes combined,89,7.71,16.9976202,10.708500726
Sexes combined,90,7.98,17.592867599999998,11.083506587999999
