age,probability
2,0.0851
3,0.0851
4,0.193
5,0.3357
6,0.4783
7,0.621
8,0.7637
9,0.9063
10,0.9446
11,0.9666
12,0.9785
13,0.9847
14,0.9909
15,0.9937
16,0.9952
17,0.9967
18,0.9975
19,0.9981
20,0.9985
21,0.9987
22,0.9989
23,0.999
24,0.9992
25,0.9994
26,0.9995
27,0.9995
28,0.9996
29,0.9997
30,0.9997
31,0.9997
