year,fsh_cpue,var,se,upper,lower,CPUE,cpue
1980,0.7190985,0.255,0.06485912,0.8488168,0.5893803,Fully Standardized,0.719
1981,0.9796333,0.255,0.06485912,1.1093515,0.849915,Fully Standardized,0.98
1982,1.240168,0.255,0.06485912,1.3698863,1.1104498,Fully Standardized,1.24
1983,1.5213557,0.255,0.06485912,1.651074,1.3916375,Fully Standardized,1.521
1984,1.304248,0.255,0.06485912,1.4339663,1.1745298,Fully Standardized,1.304
1985,1.8795339,0.255,0.06485912,2.0092521,1.7498156,Fully Standardized,1.88
1986,1.5805372,0.255,0.06485912,1.7102554,1.4508189,Fully Standardized,1.581
1987,1.704394,0.255,0.06485912,1.8341122,1.5746757,Fully Standardized,1.704
1988,1.5794883,0.255,0.06485912,1.7092066,1.4497701,Fully Standardized,1.579
1989,1.155881,0.255,0.06485912,1.2855993,1.0261628,Fully Standardized,1.156
1990,1.4018294,0.255,0.06485912,1.5315477,1.2721112,Fully Standardized,1.402
1991,1.2671615,0.255,0.06485912,1.3968798,1.1374433,Fully Standardized,1.267
1992,1.4684424,0.255,0.06485912,1.5981607,1.3387242,Fully Standardized,1.468
1993,1.5873016,0.255,0.06485912,1.7170198,1.4575833,Fully Standardized,1.587
1994,0.992725,0.255,0.06485912,1.1224432,0.8630068,Fully Standardized,0.993
1995,0.838343,0.255,0.06485912,0.9680612,0.7086248,Fully Standardized,0.838
1996,0.730465,0.255,0.06485912,0.8601832,0.6007468,Fully Standardized,0.73
1997,0.9327641,0.231,0.05343601,1.0396361,0.8370105,Fully Standardized,0.933
1998,0.8146847,0.205,0.04187202,0.8984287,0.7388555,Fully Standardized,0.815
1999,0.7735439,0.197,0.03869054,0.850925,0.7033034,Fully Standardized,0.774
2000,0.7583339,0.193,0.03730717,0.8329482,0.6905041,Fully Standardized,0.758
2001,0.7607285,0.197,0.03892511,0.8385787,0.6902137,Fully Standardized,0.761
2002,0.853767,0.211,0.04467146,0.9431099,0.7730002,Fully Standardized,0.854
2003,1.1109851,0.247,0.06081356,1.2326122,1.0014811,Fully Standardized,1.111
2004,1.0568605,0.237,0.0562297,1.1693199,0.9553325,Fully Standardized,1.057
2005,1.0454313,0.233,0.05421515,1.1538616,0.9473008,Fully Standardized,1.045
2006,1.0803774,0.237,0.0559653,1.192308,0.9790646,Fully Standardized,1.08
2007,1.1846929,0.255,0.06478587,1.3142647,1.0680169,Fully Standardized,1.185
2008,1.3060473,0.267,0.07117524,1.4483978,1.1778077,Fully Standardized,1.306
2009,1.1672524,0.257,0.06582428,1.298901,1.0490752,Fully Standardized,1.167
2010,1.0959331,0.25,0.06270816,1.2213495,0.9835271,Fully Standardized,1.096
2011,1.2119384,0.27,0.07306665,1.3580717,1.0816741,Fully Standardized,1.212
2012,1.3064219,0.279,0.07793092,1.4622837,1.1673148,Fully Standardized,1.306
2013,1.135409,0.26,0.06767177,1.2707526,1.0146221,Fully Standardized,1.135
2014,1.2494271,0.278,0.07723166,1.4038904,1.1121097,Fully Standardized,1.249
2015,1.1097573,0.26,0.06735127,1.2444598,0.9897815,Fully Standardized,1.11
2016,0.9117925,0.236,0.05556878,1.02293,0.8128774,Fully Standardized,0.912
2017,1.1229124,0.262,0.06882996,1.2605723,1.0004345,Fully Standardized,1.123
2018,1.4031849,0.295,0.08728524,1.5777554,1.2480824,Fully Standardized,1.403
2019,1.1120167,0.258,0.06650442,1.2450256,0.9933601,Fully Standardized,1.112
2020,1.2258018,0.268,0.07192949,1.3696608,1.0971904,Fully Standardized,1.226
2021,1.4402686,0.294,0.08639612,1.6130608,1.286129,Fully Standardized,1.44
2022,1.9584904,0.349,0.12156195,2.2016143,1.7423663,Fully Standardized,1.958
2023,1.2954112,0.284,0.08082804,1.4570673,1.1518438,Fully Standardized,1.295
2024,1.1539104,0.259,0.06727964,1.2884697,1.0335398,Fully Standardized,1.154
