age,prop_fem,prop_mature
2,0.5777980875456459,0.0201
3,0.5787367351249347,0.0586
4,0.5796249058947536,0.1484
5,0.5804000808167914,0.3237
6,0.5809807216738616,0.4989
7,0.5812383614737671,0.6874
8,0.5809600574506654,0.8177
9,0.5798345818260626,0.8942
10,0.5774878213540996,0.9387
11,0.5735659168436172,0.9639
12,0.5678352731087626,0.9748
13,0.5602553451041359,0.9857
14,0.5509913209073494,0.9907
15,0.5403632849517888,0.9937
16,0.5287598172211911,0.9956
17,0.5165592490762316,0.9968
18,0.5040915313826028,0.9975
19,0.49164449375869856,0.9982
20,0.479489725014403,0.9986
21,0.46789409491691414,0.9989
22,0.45709762013772404,0.9991
23,0.4472651154896043,0.9993
24,0.43843921562496996,0.9994
25,0.4305237591524312,0.9995
26,0.4233105720258525,0.9996
27,0.4165408295342418,0.9996
28,0.40997681498737215,0.9996
29,0.4034572341520154,0.9997
30,0.39691774523471884,0.9997
31,0.3903716346105068,0.9997
